ST,state,Temp,MAX,MIN,date
CT,Connecticut,48.3,58.4,38.2,1990
DE,Delaware,54.5,64,45.1,1990
FL,Florida,70.8,81.9,59.8,1990
GA,Georgia,63.2,74.5,51.9,1990
ID,Idaho,43.2,54.9,31.6,1990
IL,Illinois,50.5,61,40,1990
IN,Indiana,50.3,60.4,40.3,1990
IA,Iowa,46.7,58,35.3,1990
KS,Kansas,53.1,66.2,40.1,1990
KY,Kentucky,54.4,65.1,43.8,1990
LA,Louisiana,65.4,75.6,55.1,1990
ME,Maine,39.7,50.3,29.1,1990
MD,Maryland,53.8,63.5,44.1,1990
MA,Massachusetts,46.9,57,36.8,1990
MI,Michigan,42.8,53.2,32.5,1990
MN,Minnesota,39.6,51,28.2,1990
MS,Mississippi,62.4,73.2,51.6,1990
MO,Missouri,53.1,64.6,41.6,1990
MT,Montana,41.2,52.9,29.4,1990
NE,Nebraska,48,61.4,34.7,1990
NV,Nevada,50.6,64.7,36.6,1990
NH,New Hampshire,42.1,53,31.1,1990
NJ,New Jersey,51.8,61.4,42.1,1990
NM,New Mexico,53.9,69.8,38.1,1990
NY,New York,44.2,54.2,34.2,1990
NC,North Carolina,58.4,69.1,47.7,1990
ND,North Dakota,40.1,52.3,28,1990
OH,Ohio,49.5,59.3,39.8,1990
OK,Oklahoma,58.2,70.4,46,1990
OR,Oregon,46.8,58.3,35.4,1990
PA,Pennsylvania,47.7,57.7,37.8,1990
RI,Rhode Island,48.8,58.2,39.4,1990
SC,South Carolina,62.4,73.5,51.2,1990
SD,South Dakota,44.7,57.2,32.2,1990
TN,Tennessee,56.7,67.3,46,1990
TX,Texas,64.3,77,51.6,1990
UT,Utah,49.2,62.5,35.9,1990
VT,Vermont,41.2,51.9,30.5,1990
VA,Virginia,54.6,65.2,44,1990
WA,Washington,46.8,56.4,37.2,1990
WV,We Virginia,51,61.5,40.4,1990
WI,Wisconsin,41.4,52.4,30.3,1990
WY,Wyoming,41.4,54.4,28.5,1990
AL,Alabama,64.6,76.8,52.4,1991
AZ,Arizona,59.7,73.6,45.8,1991
AR,Arkansas,61.1,72.2,50.1,1991
CA,California,58,70.9,45,1991
CO,Colorado,45.2,58.8,31.6,1991
CT,Connecticut,50.4,60.7,40.1,1991
DE,Delaware,56.7,66.9,46.5,1991
FL,Florida,72.4,83.4,61.5,1991
GA,Georgia,65.3,77.3,53.2,1991
ID,Idaho,43,55.1,30.8,1991
IL,Illinois,52.5,62.5,42.4,1991
IN,Indiana,52.4,62.5,42.4,1991
IA,Iowa,48.1,58.7,37.5,1991
KS,Kansas,54.7,67.1,42.2,1991
KY,Kentucky,56.7,67.9,45.6,1991
LA,Louisiana,67.3,78.1,56.5,1991
ME,Maine,41.6,51.8,31.4,1991
MD,Maryland,56.1,66.6,45.6,1991
MA,Massachusetts,49,59.3,38.7,1991
MI,Michigan,44.8,54.9,34.7,1991
MN,Minnesota,41.2,52.7,29.8,1991
MS,Mississippi,64.6,76.3,52.9,1991
MO,Missouri,55.1,66,44.2,1991
MT,Montana,42,54.7,29.2,1991
NE,Nebraska,49,61.9,36.1,1991
NV,Nevada,49.9,63.7,36,1991
NH,New Hampshire,44.3,55.3,33.3,1991
NJ,New Jersey,53.9,64.2,43.7,1991
NM,New Mexico,53.2,67.7,38.6,1991
NY,New York,46.5,56.5,36.5,1991
NC,North Carolina,60.7,72.1,49.2,1991
ND,North Dakota,41.3,54,28.6,1991
OH,Ohio,52,62,42,1991
OK,Oklahoma,59.8,71.7,48,1991
OR,Oregon,47.2,59,35.4,1991
PA,Pennsylvania,50,60.4,39.7,1991
RI,Rhode Island,50.9,60.5,41.4,1991
SC,South Carolina,64.6,76.4,52.8,1991
SD,South Dakota,45.7,58.6,32.8,1991
TN,Tennessee,59,70.4,47.5,1991
TX,Texas,65,76.9,53.1,1991
UT,Utah,48.2,61,35.4,1991
VT,Vermont,43.2,53.8,32.6,1991
VA,Virginia,57,68.4,45.5,1991
WA,Washington,46.8,56.5,37,1991
WV,We Virginia,53.5,64.7,42.2,1991
WI,Wisconsin,43.4,54.2,32.7,1991
WY,Wyoming,41.3,54.4,28.2,1991
AL,Alabama,63.8,74.9,52.8,1992
AZ,Arizona,59.2,73,45.3,1992
AR,Arkansas,61.6,72.2,51,1992
CA,California,58.1,70.6,45.6,1992
CO,Colorado,45.3,58.9,31.7,1992
CT,Connecticut,51.1,61.6,40.6,1992
DE,Delaware,56.9,67.3,46.6,1992
FL,Florida,71.3,81.6,61,1992
GA,Georgia,64.5,75.5,53.4,1992
ID,Idaho,43.7,55.3,32,1992
IL,Illinois,54.4,64.4,44.3,1992
IN,Indiana,54,64,44,1992
IA,Iowa,49.7,59.9,39.6,1992
KS,Kansas,56.6,69.2,43.9,1992
KY,Kentucky,57.5,68.2,46.7,1992
LA,Louisiana,67,76.8,57.1,1992
ME,Maine,41.9,52.4,31.4,1992
MD,Maryland,56.5,67.2,45.9,1992
MA,Massachusetts,49.7,60.2,39.2,1992
MI,Michigan,46.3,56.2,36.4,1992
MN,Minnesota,42.7,53,32.4,1992
MS,Mississippi,64.3,75,53.6,1992
MO,Missouri,56.8,67.8,45.8,1992
MT,Montana,44,56.1,31.9,1992
NE,Nebraska,51.1,63.7,38.5,1992
NV,Nevada,50,63.3,36.7,1992
NH,New Hampshire,44.6,55.8,33.4,1992
NJ,New Jersey,54.5,65,43.9,1992
NM,New Mexico,52.4,66.8,38,1992
NY,New York,47.2,57.5,36.9,1992
NC,North Carolina,60.2,71.2,49.3,1992
ND,North Dakota,43.4,54.8,32.1,1992
OH,Ohio,53.2,63.5,43,1992
OK,Oklahoma,60.8,72.6,49.1,1992
OR,Oregon,47.9,59.1,36.7,1992
PA,Pennsylvania,50.9,61.7,40.1,1992
RI,Rhode Island,51.5,61.4,41.6,1992
SC,South Carolina,63.8,74.8,52.6,1992
SD,South Dakota,47.9,59.9,35.8,1992
TN,Tennessee,59.1,69.9,48.3,1992
TX,Texas,64.9,76.5,53.3,1992
UT,Utah,47.7,60.1,35.2,1992
VT,Vermont,43.6,54.4,32.7,1992
VA,Virginia,57,68.3,45.7,1992
WA,Washington,47.6,57.2,38.1,1992
WV,We Virginia,53.8,65.1,42.5,1992
WI,Wisconsin,44.5,54.6,34.4,1992
WY,Wyoming,42.2,54.9,29.5,1992
AL,Alabama,62.5,73.5,51.5,1993
AZ,Arizona,59.9,73.2,46.6,1993
AR,Arkansas,59.8,70.4,49.2,1993
CA,California,59.1,71.2,47,1993
CO,Colorado,45.2,58.4,32,1993
CT,Connecticut,47.8,57.6,37.9,1993
DE,Delaware,54.1,63.5,44.7,1993
FL,Florida,70.9,81,60.7,1993
GA,Georgia,63.1,73.9,52.2,1993
ID,Idaho,44.4,56.5,32.3,1993
IL,Illinois,51.6,61.4,41.8,1993
IN,Indiana,51.3,60.9,41.6,1993
IA,Iowa,47,56.9,37.2,1993
KS,Kansas,53.2,64.6,41.7,1993
KY,Kentucky,55.3,65.7,44.8,1993
LA,Louisiana,66,76.2,55.9,1993
ME,Maine,39.9,50.1,29.7,1993
MD,Maryland,53.6,63.1,44.1,1993
MA,Massachusetts,46.5,56.4,36.6,1993
MI,Michigan,43.2,52.7,33.7,1993
MN,Minnesota,40.1,50.1,30.2,1993
MS,Mississippi,63.1,73.9,52.2,1993
MO,Missouri,54,64.6,43.5,1993
MT,Montana,42.2,54.6,29.8,1993
NE,Nebraska,47.8,59.8,35.8,1993
NV,Nevada,51,64.2,37.8,1993
NH,New Hampshire,42,52.6,31.4,1993
NJ,New Jersey,51.4,61.1,41.7,1993
NM,New Mexico,53,67.4,38.6,1993
NY,New York,43.9,53.4,34.4,1993
NC,North Carolina,58.4,68.8,47.8,1993
ND,North Dakota,40,51.3,28.8,1993
OH,Ohio,50.5,60,41,1993
OK,Oklahoma,58.9,70.2,47.6,1993
OR,Oregon,48.7,60.4,37,1993
PA,Pennsylvania,47.8,57.4,38.2,1993
RI,Rhode Island,48.4,57.6,39.3,1993
SC,South Carolina,62.2,73,51.3,1993
SD,South Dakota,44.4,56.1,32.7,1993
TN,Tennessee,57.2,67.7,46.7,1993
TX,Texas,64.4,76.2,52.6,1993
UT,Utah,49,61.4,36.6,1993
VT,Vermont,40.9,51.2,30.6,1993
VA,Virginia,54.5,64.8,44.3,1993
WA,Washington,47.8,57.8,37.9,1993
WV,We Virginia,51.6,61.8,41.4,1993
WI,Wisconsin,42.3,52.1,32.5,1993
WY,Wyoming,42,54.9,29,1993
AL,Alabama,61.7,73.2,50.2,1994
AZ,Arizona,59.8,74.1,45.4,1994
AR,Arkansas,59.1,69.6,48.5,1994
CA,California,58,70.4,45.6,1994
CO,Colorado,44.1,57.4,30.8,1994
CT,Connecticut,47.8,58.3,37.2,1994
DE,Delaware,54,63.9,44.1,1994
FL,Florida,69.7,80.6,58.9,1994
GA,Georgia,62.6,74.3,50.8,1994
ID,Idaho,41.7,52.9,30.5,1994
IL,Illinois,50.2,59.4,41,1994
IN,Indiana,49.9,59.4,40.5,1994
IA,Iowa,45.1,54.2,35.9,1994
KS,Kansas,52.3,63.7,40.8,1994
KY,Kentucky,54.1,64.7,43.5,1994
LA,Louisiana,65.3,75.8,54.8,1994
ME,Maine,39,50,28.1,1994
MD,Maryland,53.3,63.4,43.2,1994
MA,Massachusetts,46.4,57,35.9,1994
MI,Michigan,42.3,51.9,32.6,1994
MN,Minnesota,38,48,28.1,1994
MS,Mississippi,62.2,73.1,51.2,1994
MO,Missouri,52.7,62.6,42.8,1994
MT,Montana,40.4,51.7,29,1994
NE,Nebraska,46.3,57.6,34.9,1994
NV,Nevada,49.3,62.6,36,1994
NH,New Hampshire,41.5,53,30,1994
NJ,New Jersey,51.3,61.5,41,1994
NM,New Mexico,53,68.3,37.7,1994
NY,New York,43,53.4,32.7,1994
NC,North Carolina,58.1,69.4,46.9,1994
ND,North Dakota,37.6,48.6,26.7,1994
OH,Ohio,49.4,59.1,39.6,1994
OK,Oklahoma,58.2,69.7,46.6,1994
OR,Oregon,46.3,57.3,35.4,1994
PA,Pennsylvania,47.2,57.6,36.8,1994
RI,Rhode Island,48.6,58.3,38.9,1994
SC,South Carolina,62,73.6,50.4,1994
SD,South Dakota,42,53.1,31,1994
TN,Tennessee,56.4,67.4,45.5,1994
TX,Texas,64.2,76.4,51.9,1994
UT,Utah,47.3,59.8,34.7,1994
VT,Vermont,40,51.1,29,1994
VA,Virginia,54.3,65.3,43.3,1994
WA,Washington,46.6,55.9,37.3,1994
WV,We Virginia,50.8,61.6,40,1994
WI,Wisconsin,40.8,50.5,31.1,1994
WY,Wyoming,39.5,51.8,27.2,1994
AL,Alabama,63.4,74.5,52.3,1995
AZ,Arizona,60.5,74.2,46.7,1995
AR,Arkansas,60.8,71.5,50,1995
CA,California,57.9,70.1,45.7,1995
CO,Colorado,46.5,60.4,32.7,1995
CT,Connecticut,50,60.2,39.8,1995
DE,Delaware,55.9,66.1,45.6,1995
FL,Florida,71.5,81.6,61.5,1995
GA,Georgia,64,75,53,1995
ID,Idaho,44.2,56.2,32,1995
IL,Illinois,52.5,62.8,42.1,1995
IN,Indiana,52.1,62.6,41.7,1995
IA,Iowa,48.1,58.6,37.6,1995
KS,Kansas,55.1,67.8,42.4,1995
KY,Kentucky,56.1,67.4,44.8,1995
LA,Louisiana,66.7,76.8,56.7,1995
ME,Maine,41.7,51.8,31.7,1995
MD,Maryland,55.2,65.6,44.9,1995
MA,Massachusetts,48.9,59,38.7,1995
MI,Michigan,45,55.1,34.8,1995
MN,Minnesota,42.1,52.4,31.8,1995
MS,Mississippi,64,74.8,53.1,1995
MO,Missouri,55,65.9,44,1995
MT,Montana,42.8,55.3,30.3,1995
NE,Nebraska,49.5,62.2,36.8,1995
NV,Nevada,50.8,63.8,37.7,1995
NH,New Hampshire,44,54.8,33.3,1995
NJ,New Jersey,53.2,63.6,42.7,1995
NM,New Mexico,54.5,69.4,39.6,1995
NY,New York,45.7,55.8,35.7,1995
NC,North Carolina,59.4,70.5,48.3,1995
ND,North Dakota,41,52.2,29.7,1995
OH,Ohio,51.2,61.8,40.7,1995
OK,Oklahoma,60,72.1,47.9,1995
OR,Oregon,47.7,59.3,36.2,1995
PA,Pennsylvania,49,59.6,38.4,1995
RI,Rhode Island,50.6,60,41.2,1995
SC,South Carolina,63.1,74.3,52,1995
SD,South Dakota,45.6,57.5,33.8,1995
TN,Tennessee,58.1,69.3,46.9,1995
TX,Texas,65.7,77.9,53.5,1995
UT,Utah,49.6,62.1,37,1995
VT,Vermont,42.9,53.3,32.5,1995
VA,Virginia,56,67.3,44.6,1995
WA,Washington,47.6,57.4,37.6,1995
WV,We Virginia,52.5,63.9,41.1,1995
WI,Wisconsin,44,54.3,33.8,1995
WY,Wyoming,42.8,56,29.6,1995
AL,Alabama,62.9,74.5,51.2,1996
AZ,Arizona,61.2,75.8,46.6,1996
AR,Arkansas,60.2,71.6,48.8,1996
CA,California,59,71.3,46.7,1996
CO,Colorado,45.4,59.1,31.8,1996
CT,Connecticut,48.4,58.9,38,1996
DE,Delaware,54.6,64.8,44.5,1996
FL,Florida,70.8,81.2,60.3,1996
GA,Georgia,63.3,74.8,51.8,1996
ID,Idaho,43.4,54.8,32.1,1996
IL,Illinois,51.5,61.8,41.1,1996
IN,Indiana,51.2,61.7,40.8,1996
IA,Iowa,47,57.1,37,1996
KS,Kansas,53.6,66.1,41,1996
KY,Kentucky,55.2,66.4,43.9,1996
LA,Louisiana,66.7,77.5,55.8,1996
ME,Maine,40.4,51.1,29.8,1996
MD,Maryland,53.9,64.1,43.7,1996
MA,Massachusetts,47.2,57.6,36.8,1996
MI,Michigan,43.7,53.6,33.7,1996
MN,Minnesota,39.4,49.6,29.2,1996
MS,Mississippi,63.5,75,51.9,1996
MO,Missouri,54,65.1,43,1996
MT,Montana,40.8,52.8,28.9,1996
NE,Nebraska,48.1,60.4,35.7,1996
NV,Nevada,50.9,64.5,37.3,1996
NH,New Hampshire,42.7,53.7,31.7,1996
NJ,New Jersey,51.9,62.2,41.6,1996
NM,New Mexico,54.4,69.8,38.9,1996
NY,New York,44.5,54.8,34.2,1996
NC,North Carolina,58.2,69.1,47.3,1996
ND,North Dakota,38.8,49.6,28.1,1996
OH,Ohio,50,60.3,39.8,1996
OK,Oklahoma,59.1,71.3,46.8,1996
OR,Oregon,47.9,58.9,37,1996
PA,Pennsylvania,48,58.4,37.5,1996
RI,Rhode Island,49.4,58.9,39.8,1996
SC,South Carolina,62.3,73.5,51.1,1996
SD,South Dakota,44,55.2,32.8,1996
TN,Tennessee,57.2,68.5,45.9,1996
TX,Texas,65,77.7,52.4,1996
UT,Utah,49.2,62.1,36.2,1996
VT,Vermont,41.6,52.3,30.9,1996
VA,Virginia,54.6,65.6,43.6,1996
WA,Washington,47.2,56.8,37.7,1996
WV,We Virginia,51.3,62.4,40.3,1996
WI,Wisconsin,42.2,52.4,32,1996
WY,Wyoming,41.3,53.7,28.8,1996
AL,Alabama,62.3,73.7,50.9,1997
AZ,Arizona,61.7,75.9,47.5,1997
AR,Arkansas,59.6,70.4,48.8,1997
CA,California,59.5,71.8,47.2,1997
CO,Colorado,45.8,59.6,31.9,1997
CT,Connecticut,48.5,58.2,38.8,1997
DE,Delaware,54.1,63.7,44.6,1997
FL,Florida,70.1,80.9,59.3,1997
GA,Georgia,62.9,74.6,51.3,1997
ID,Idaho,43.2,54.8,31.5,1997
IL,Illinois,49.9,60,39.8,1997
IN,Indiana,49.9,59.8,40,1997
IA,Iowa,45.1,55.2,35,1997
KS,Kansas,53.2,65.8,40.6,1997
KY,Kentucky,54.4,65.2,43.6,1997
LA,Louisiana,66.2,76.5,55.8,1997
ME,Maine,41,50.5,31.4,1997
MD,Maryland,53.5,63.1,43.8,1997
MA,Massachusetts,47.4,57,37.8,1997
MI,Michigan,42.6,52.2,33,1997
MN,Minnesota,37.9,48.1,27.7,1997
MS,Mississippi,63.1,74.2,52,1997
MO,Missouri,52.8,63.6,42,1997
MT,Montana,39.5,51.3,27.6,1997
NE,Nebraska,46.8,59,34.6,1997
NV,Nevada,51.4,64.8,37.9,1997
NH,New Hampshire,43,53.1,32.8,1997
NJ,New Jersey,51.6,61.2,42.1,1997
NM,New Mexico,54.4,69.4,39.4,1997
NY,New York,44.6,54,35.2,1997
NC,North Carolina,58,68.8,47.1,1997
ND,North Dakota,36.6,47.5,25.8,1997
OH,Ohio,49.6,59.4,39.7,1997
OK,Oklahoma,59.1,71.3,46.8,1997
OR,Oregon,47.6,59,36.2,1997
PA,Pennsylvania,47.7,57.5,37.9,1997
RI,Rhode Island,49.1,58.1,40.1,1997
SC,South Carolina,62,73.5,50.6,1997
SD,South Dakota,41.7,53,30.3,1997
TN,Tennessee,56.6,67.6,45.7,1997
TX,Texas,65.4,77.9,52.8,1997
UT,Utah,49.4,62.3,36.5,1997
VT,Vermont,42.1,51.8,32.3,1997
VA,Virginia,54.2,64.8,43.6,1997
WA,Washington,45.7,55.3,36.1,1997
WV,We Virginia,50.8,61.4,40.3,1997
WI,Wisconsin,40.6,50.6,30.6,1997
WY,Wyoming,41.2,54,28.3,1997
AL,Alabama,62.5,73.6,51.4,1998
AZ,Arizona,60.7,74.8,46.5,1998
AR,Arkansas,60.1,70.7,49.6,1998
CA,California,59.2,71.5,46.8,1998
CO,Colorado,45.1,58.4,31.9,1998
CT,Connecticut,49.2,59.2,39.1,1998
DE,Delaware,55.4,65.5,45.4,1998
FL,Florida,71.2,81.5,60.9,1998
GA,Georgia,63.3,74.5,52.2,1998
ID,Idaho,43.6,55,32.1,1998
IL,Illinois,51.8,61.4,42.3,1998
IN,Indiana,51.5,61.1,41.9,1998
IA,Iowa,47.8,57.6,38.1,1998
KS,Kansas,54,65.6,42.4,1998
KY,Kentucky,55.2,65.7,44.6,1998
LA,Louisiana,66.4,76.5,56.2,1998
ME,Maine,40.1,50.3,30,1998
MD,Maryland,54.6,64.9,44.4,1998
MA,Massachusetts,47.8,57.8,37.9,1998
MI,Michigan,44.1,53.7,34.6,1998
MN,Minnesota,41.4,51.4,31.4,1998
MS,Mississippi,63.2,74,52.4,1998
MO,Missouri,54.4,64.6,44.3,1998
MT,Montana,42.6,54.5,30.7,1998
NE,Nebraska,49.1,61.2,37,1998
NV,Nevada,50.9,64.2,37.5,1998
NH,New Hampshire,42.8,53.4,32.1,1998
NJ,New Jersey,52.8,63,42.5,1998
NM,New Mexico,53.2,67.7,38.7,1998
NY,New York,45,54.8,35.2,1998
NC,North Carolina,58.4,69.6,47.2,1998
ND,North Dakota,41.4,52.7,30.2,1998
OH,Ohio,50.8,60.4,41.1,1998
OK,Oklahoma,59,70.3,47.8,1998
OR,Oregon,48,59,36.9,1998
PA,Pennsylvania,48.7,58.8,38.6,1998
RI,Rhode Island,49.9,59.2,40.6,1998
SC,South Carolina,62.3,73.5,51.1,1998
SD,South Dakota,45.5,57,34,1998
TN,Tennessee,57.3,67.9,46.7,1998
TX,Texas,64.4,76.2,52.6,1998
UT,Utah,48.6,61.1,36,1998
VT,Vermont,41.6,52,31.1,1998
VA,Virginia,55,66,43.9,1998
WA,Washington,47.2,56.5,38,1998
WV,We Virginia,51.6,62.2,40.9,1998
WI,Wisconsin,43.4,53,33.7,1998
WY,Wyoming,41.5,54.1,29,1998
AL,Alabama,65.3,76.6,53.9,1999
AZ,Arizona,59.4,73.5,45.3,1999
AR,Arkansas,63,73.7,52.2,1999
CA,California,56.7,68.4,45,1999
CO,Colorado,46.4,59.8,33,1999
CT,Connecticut,51.1,61.3,40.9,1999
DE,Delaware,57.1,67.3,46.9,1999
FL,Florida,72.5,83,62,1999
GA,Georgia,65.7,77.2,54.3,1999
ID,Idaho,44.3,55.4,33.1,1999
IL,Illinois,54.7,64.2,45.1,1999
IN,Indiana,54.3,64.4,44.2,1999
IA,Iowa,50.4,59.9,40.9,1999
KS,Kansas,56.2,68.1,44.4,1999
KY,Kentucky,57.9,68.7,47.1,1999
LA,Louisiana,68.7,79,58.4,1999
ME,Maine,43.2,53.3,33.1,1999
MD,Maryland,56.7,67,46.3,1999
MA,Massachusetts,49.9,60,39.9,1999
MI,Michigan,47.7,57.8,37.5,1999
MN,Minnesota,44.4,54.4,34.3,1999
MS,Mississippi,65.9,76.9,54.9,1999
MO,Missouri,56.8,66.8,46.8,1999
MT,Montana,44.1,55.9,32.3,1999
NE,Nebraska,50.6,62.4,38.7,1999
NV,Nevada,49.1,61.8,36.5,1999
NH,New Hampshire,45.6,56.4,34.9,1999
NJ,New Jersey,54.7,64.9,44.5,1999
NM,New Mexico,54.4,69.4,39.3,1999
NY,New York,47.8,57.6,37.9,1999
NC,North Carolina,60.9,72,49.7,1999
ND,North Dakota,42.9,53.6,32.3,1999
OH,Ohio,53.5,63.6,43.3,1999
OK,Oklahoma,62,73.8,50.2,1999
OR,Oregon,47.7,58.5,37,1999
PA,Pennsylvania,51.1,61.5,40.8,1999
RI,Rhode Island,51.6,61,42.2,1999
SC,South Carolina,64.8,76.3,53.3,1999
SD,South Dakota,47.3,58.5,36,1999
TN,Tennessee,60.1,70.9,49.3,1999
TX,Texas,67,79.3,54.7,1999
UT,Utah,48.3,60.5,36.1,1999
VT,Vermont,44.8,55,34.5,1999
VA,Virginia,57.3,68.6,46.1,1999
WA,Washington,48.8,58.3,39.2,1999
WV,We Virginia,54,64.9,43,1999
WI,Wisconsin,46.6,56.9,36.4,1999
WY,Wyoming,42.7,55,30.5,1999
AL,Alabama,63.9,76,51.8,2000
AZ,Arizona,60.8,75.7,46,2000
AR,Arkansas,62.1,73.8,50.3,2000
CA,California,58,70.8,45.2,2000
CO,Colorado,46.6,60.6,32.6,2000
CT,Connecticut,50.6,61.2,39.9,2000
DE,Delaware,56.1,66.4,45.8,2000
FL,Florida,71,81.9,60,2000
GA,Georgia,64.2,76.2,52.2,2000
ID,Idaho,43.5,55.6,31.3,2000
IL,Illinois,53.7,64.5,42.9,2000
IN,Indiana,53.2,64.3,42.1,2000
IA,Iowa,50,60.8,39.2,2000
KS,Kansas,56.1,68.8,43.4,2000
KY,Kentucky,57,69,44.9,2000
LA,Louisiana,67.7,79.1,56.3,2000
ME,Maine,43.8,54.1,33.5,2000
MD,Maryland,55.4,66.1,44.8,2000
MA,Massachusetts,49.6,60.2,39,2000
MI,Michigan,46.5,57,36,2000
MN,Minnesota,43.9,54.5,33.3,2000
MS,Mississippi,64.8,76.9,52.7,2000
MO,Missouri,56.6,68,45.1,2000
MT,Montana,44,56.3,31.8,2000
NE,Nebraska,51.2,64.2,38.1,2000
NV,Nevada,50.6,64.8,36.4,2000
NH,New Hampshire,45.2,56.4,34.1,2000
NJ,New Jersey,53.8,64.3,43.3,2000
NM,New Mexico,54.3,70,38.6,2000
NY,New York,46.8,57.3,36.2,2000
NC,North Carolina,59.1,70.6,47.8,2000
ND,North Dakota,43.4,54.7,32.1,2000
OH,Ohio,52.1,63.4,40.9,2000
OK,Oklahoma,61.4,73.8,49,2000
OR,Oregon,47,58.6,35.5,2000
PA,Pennsylvania,49.9,60.8,38.9,2000
RI,Rhode Island,51.5,61.4,41.6,2000
SC,South Carolina,62.9,74.7,51.2,2000
SD,South Dakota,48.1,60.4,35.8,2000
TN,Tennessee,58.9,71,46.9,2000
TX,Texas,66.6,79.6,53.7,2000
UT,Utah,49.2,62.5,35.9,2000
VT,Vermont,44.1,55,33.3,2000
VA,Virginia,55.9,67.5,44.2,2000
WA,Washington,46.6,56.3,36.9,2000
WV,We Virginia,52.6,64.8,40.4,2000
WI,Wisconsin,45.6,56.3,34.9,2000
WY,Wyoming,43.1,56.3,29.9,2000
AL,Alabama,63.1,75.6,50.7,2001
AZ,Arizona,61.2,75.4,47,2001
AR,Arkansas,60.5,71.6,49.4,2001
CA,California,58.5,71.1,45.9,2001
CO,Colorado,46.6,60.7,32.6,2001
CT,Connecticut,48.6,58.7,38.5,2001
DE,Delaware,54.7,64.7,44.8,2001
FL,Florida,70.1,81.7,58.5,2001
GA,Georgia,63.1,75.5,50.8,2001
ID,Idaho,43.7,55.7,31.7,2001
IL,Illinois,52.1,62.2,41.9,2001
IN,Indiana,51.6,61.8,41.3,2001
IA,Iowa,48.6,59.1,38,2001
KS,Kansas,55.3,68,42.7,2001
KY,Kentucky,55.5,66.6,44.3,2001
LA,Louisiana,66.7,77.7,55.6,2001
ME,Maine,40.9,51,30.9,2001
MD,Maryland,54.1,64.3,44,2001
MA,Massachusetts,47.6,57.5,37.7,2001
MI,Michigan,45.4,55.2,35.4,2001
MN,Minnesota,42.3,52.8,31.8,2001
MS,Mississippi,63.7,75.8,51.6,2001
MO,Missouri,54.8,65.7,44,2001
MT,Montana,42.6,55,30.1,2001
NE,Nebraska,49.8,62.7,36.9,2001
NV,Nevada,51,64.8,37.3,2001
NH,New Hampshire,43.1,53.7,32.5,2001
NJ,New Jersey,52.2,62.1,42.2,2001
NM,New Mexico,54.6,69.7,39.5,2001
NY,New York,45.1,54.8,35.6,2001
NC,North Carolina,58.4,69.9,47,2001
ND,North Dakota,41.5,52.9,30,2001
OH,Ohio,50.9,60.9,40.9,2001
OK,Oklahoma,59.9,71.8,48.1,2001
OR,Oregon,47.4,58.9,35.9,2001
PA,Pennsylvania,48.5,58.7,38.3,2001
RI,Rhode Island,49.6,58.8,40.3,2001
SC,South Carolina,62.2,74.3,50.1,2001
SD,South Dakota,46.1,58.4,33.7,2001
TN,Tennessee,57.7,69.2,46.2,2001
TX,Texas,65.9,78,53.8,2001
UT,Utah,49.8,62.5,37,2001
VT,Vermont,42,52.1,32,2001
VA,Virginia,54.9,66.2,43.7,2001
WA,Washington,46.3,55.9,36.7,2001
WV,We Virginia,51.8,62.8,40.8,2001
WI,Wisconsin,44.2,54.5,33.9,2001
WY,Wyoming,42.3,55.6,29,2001
AL,Alabama,63.5,75.1,51.9,2002
AZ,Arizona,61.4,75.8,47,2002
AR,Arkansas,61.7,72.7,50.6,2002
CA,California,59.1,71.7,46.5,2002
CO,Colorado,46.9,60.8,33,2002
CT,Connecticut,50.9,61.4,40.3,2002
DE,Delaware,56.7,67.1,46.2,2002
FL,Florida,71.5,82.1,60.8,2002
GA,Georgia,64.3,76.2,52.4,2002
ID,Idaho,44.3,56.4,32.2,2002
IL,Illinois,54,64.4,43.6,2002
IN,Indiana,53.8,64.1,43.4,2002
IA,Iowa,49.7,60.1,39.3,2002
KS,Kansas,56.1,68.8,43.4,2002
KY,Kentucky,57.1,68.5,45.6,2002
LA,Louisiana,67.1,77.7,56.6,2002
ME,Maine,43.2,53.8,32.6,2002
MD,Maryland,55.9,66.6,45.2,2002
MA,Massachusetts,49.7,60.2,39.2,2002
MI,Michigan,47.1,56.8,37.4,2002
MN,Minnesota,43.2,53.6,32.9,2002
MS,Mississippi,64.2,75.7,52.8,2002
MO,Missouri,56.3,67.2,45.3,2002
MT,Montana,43.5,56,31,2002
NE,Nebraska,50.5,62.9,38,2002
NV,Nevada,51.6,65.4,37.9,2002
NH,New Hampshire,45.2,56.6,33.9,2002
NJ,New Jersey,54.2,64.8,43.7,2002
NM,New Mexico,54.9,70.1,39.7,2002
NY,New York,47.5,57.6,37.4,2002
NC,North Carolina,59.7,71.4,48,2002
ND,North Dakota,42.2,53.7,30.8,2002
OH,Ohio,52.9,63.1,42.7,2002
OK,Oklahoma,61.1,73.1,49.1,2002
OR,Oregon,47.8,59.4,36.1,2002
PA,Pennsylvania,50.5,61.2,39.8,2002
RI,Rhode Island,51.7,61.2,42,2002
SC,South Carolina,63.6,75.6,51.6,2002
SD,South Dakota,46.6,58.6,34.6,2002
TN,Tennessee,58.7,70.2,47.3,2002
TX,Texas,66.1,78.1,54,2002
UT,Utah,50,63,37,2002
VT,Vermont,44.4,55.2,33.6,2002
VA,Virginia,56.2,68.1,44.4,2002
WA,Washington,47,56.6,37.3,2002
